"FeatureName","DateCode","Value","Energy.Type"
"Renfrewshire",2018,1582.511,"Gas"
"Aberdeen City",2018,24.36,"Coal"
"West Dunbartonshire",2018,567.025,"Petroleum Products"
"East Lothian",2018,478.806,"Electricity"
"Aberdeen City",2018,110.822,"Bioenergy & Wastes"
"Argyll and Bute",2018,1179.061,"Petroleum Products"
"West Lothian",2018,1694.553,"Petroleum Products"
"East Dunbartonshire",2018,917.681,"Gas"
"North Lanarkshire",2018,3384.664,"Petroleum Products"
"Stirling",2018,779.102,"Bioenergy & Wastes"
"East Dunbartonshire",2018,337.438,"Electricity"
"Highland",2018,1113.963,"Gas"
"Fife",2018,3414.21,"Gas"
"South Lanarkshire",2018,2498.694,"Gas"
"Clackmannanshire",2018,1.115,"Coal"
"Clackmannanshire",2018,302.092,"Petroleum Products"
"North Ayrshire",2018,806.551,"Petroleum Products"
"East Dunbartonshire",2018,23.48,"Bioenergy & Wastes"
"Highland",2018,72.146,"Coal"
"Stirling",2018,4.951,"Manufactured Fuels"
"Clackmannanshire",2018,2.875,"Manufactured Fuels"
"South Lanarkshire",2018,1139.185,"Electricity"
"Renfrewshire",2018,1361.696,"Petroleum Products"
"Aberdeen City",2018,1121.694,"Electricity"
"West Lothian",2018,7.336,"Manufactured Fuels"
"Glasgow City",2018,5160.076,"Gas"
"Clackmannanshire",2018,15.884,"Bioenergy & Wastes"
"West Lothian",2018,1869.825,"Gas"
"Fife",2018,26.261,"Manufactured Fuels"
"Scottish Borders",2018,63.12,"Coal"
"Highland",2018,1559.153,"Electricity"
"North Ayrshire",2018,3.865,"Coal"
"Aberdeen City",2018,11.36,"Manufactured Fuels"
"Aberdeen City",2018,1470.49,"Petroleum Products"
"Shetland Islands",2018,7.836,"Coal"
"North Lanarkshire",2018,24.479,"Manufactured Fuels"
"Renfrewshire",2018,1.745,"Manufactured Fuels"
"West Lothian",2018,70.845,"Bioenergy & Wastes"
"Highland",2018,19.762,"Manufactured Fuels"
"West Dunbartonshire",2018,696.82,"Gas"
"South Lanarkshire",2018,3086.464,"Petroleum Products"
