"","FeatureName","DateCode","Value","Energy.Type","Energy.Consuming.Sector"
"254","South Ayrshire",2016,1117.864,"Petroleum Products","All"
"255","South Ayrshire",2016,1279.523,"Gas","All"
"256","Moray",2016,930.75,"Petroleum Products","All"
"257","Midlothian",2016,2.836,"Manufactured Fuels","All"
"258","Moray",2016,103.269,"Bioenergy & Wastes","All"
"259","Moray",2016,5.571,"Manufactured Fuels","All"
"260","Perth and Kinross",2016,7.547,"Manufactured Fuels","All"
"261","South Lanarkshire",2016,101.351,"Bioenergy & Wastes","All"
"262","Midlothian",2016,1733.073,"All","All"
"263","Perth and Kinross",2016,80.422,"Bioenergy & Wastes","All"
"264","Shetland Islands",2016,0,"Gas","All"
"265","West Lothian",2016,6.05,"Manufactured Fuels","All"
"266","Midlothian",2016,670.252,"Petroleum Products","All"
"267","Perth and Kinross",2016,4435.034,"All","All"
"268","Scottish Borders",2016,118.048,"Bioenergy & Wastes","All"
"269","Midlothian",2016,13.121,"Coal","All"
"270","Perth and Kinross",2016,727.801,"Electricity","All"
"271","Inverclyde",2016,0.576,"Coal","All"
"272","Shetland Islands",2016,363.169,"Petroleum Products","All"
"273","Highland",2016,78.809,"Coal","All"
"274","Shetland Islands",2016,579.64,"All","All"
"275","Highland",2016,17.382,"Manufactured Fuels","All"
"276","Highland",2016,1556.094,"Electricity","All"
"277","Glasgow City",2016,11351.289,"All","All"
"278","Orkney Islands",2016,505.454,"All","All"
"279","East Dunbartonshire",2016,897.577,"Gas","All"
"280","East Dunbartonshire",2016,346.304,"Electricity","All"
"281","Clackmannanshire",2016,295.329,"Petroleum Products","All"
"282","North Ayrshire",2016,4.175,"Coal","All"
"283","Clackmannanshire",2016,2.315,"Manufactured Fuels","All"
"284","Highland",2016,1161.374,"Gas","All"
"285","Aberdeen City",2016,27.526,"Coal","All"
"286","Falkirk",2016,682.893,"Manufactured Fuels","All"
"287","Dumfries and Galloway",2016,119.651,"Bioenergy & Wastes","All"
"288","Falkirk",2016,14752.047,"Petroleum Products","All"
"289","Falkirk",2016,45.189,"Bioenergy & Wastes","All"
"290","Orkney Islands",2016,0,"Gas","All"
"291","North Lanarkshire",2016,7331.003,"All","All"
"292","North Ayrshire",2016,1575.645,"Bioenergy & Wastes","All"
"293","Aberdeen City",2016,72.182,"Bioenergy & Wastes","All"
"294","East Dunbartonshire",2016,18.274,"Bioenergy & Wastes","All"
"295","East Dunbartonshire",2016,3.225,"Coal","All"
"296","Aberdeen City",2016,9.096,"Manufactured Fuels","All"
"297","Dumfries and Galloway",2016,3004.757,"Petroleum Products","All"
"298","North Ayrshire",2016,798.549,"Petroleum Products","All"
"299","Glasgow City",2016,1.137,"Coal","All"
"300","North Ayrshire",2016,5289.962,"All","All"
"301","East Dunbartonshire",2016,1776.477,"All","All"
"302","Glasgow City",2016,2.757,"Manufactured Fuels","All"
"303","Aberdeen City",2016,1436.544,"Petroleum Products","All"
"304","Clackmannanshire",2016,311.504,"Electricity","All"
"305","North Ayrshire",2016,3.124,"Manufactured Fuels","All"
"306","North Lanarkshire",2016,4.047,"Coal","All"
"307","Dumfries and Galloway",2016,48.463,"Coal","All"
"308","Dumfries and Galloway",2016,1192.655,"Gas","All"
"309","Na h-Eileanan Siar",2016,2.768,"Manufactured Fuels","All"
"310","Dundee City",2016,0.658,"Manufactured Fuels","All"
"311","West Dunbartonshire",2016,0.481,"Manufactured Fuels","All"
"312","West Dunbartonshire",2016,573.914,"Petroleum Products","All"
"313","Dundee City",2016,1409.992,"Gas","All"
"314","Na h-Eileanan Siar",2016,23.649,"Bioenergy & Wastes","All"
"315","Aberdeenshire",2016,125.387,"Bioenergy & Wastes","All"
"316","Falkirk",2016,1360.256,"Gas","All"
"317","Na h-Eileanan Siar",2016,14.542,"Coal","All"
"318","West Dunbartonshire",2016,15.909,"Bioenergy & Wastes","All"
"319","Dumfries and Galloway",2016,5252.919,"All","All"
"320","Aberdeenshire",2016,1228.86,"Electricity","All"
"321","Aberdeenshire",2016,21.267,"Manufactured Fuels","All"
