"FeatureCode","City","FeatureType","Year","Measurement","Units","Age","Value"
"S12000010","East Lothian","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",0.925
"S12000011","East Renfrewshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-0.6
"S12000014","Falkirk","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",4.075
"S12000047","Fife","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",10.925
"S12000049","Glasgow City","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-2.625
"S12000017","Highland","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",18.1
"S12000018","Inverclyde","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",5.825
"S12000019","Midlothian","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-4.7
"S12000020","Moray","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-3.075
"S12000013","Na h-Eileanan Siar","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-2.1
"S12000021","North Ayrshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",7.23333333333333
"S12000050","North Lanarkshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-13.725
"S12000023","Orkney Islands","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",0
"S12000048","Perth and Kinross","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",2.875
"S12000038","Renfrewshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-0.35
"S12000026","Scottish Borders","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-6.7
"S12000028","South Ayrshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-2.5
"S12000029","South Lanarkshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-7.625
"S12000030","Stirling","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",4.875
"S12000039","West Dunbartonshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-11.3
"S12000040","West Lothian","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-4.975
"S12000033","Aberdeen City","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",3.1
"S12000034","Aberdeenshire","Council Area","2020","Percentage Points","Percentage Points Difference","16-24 years",-23.1
