"","FeatureName","DateCode","Age","Value"
"285","Dumfries and Galloway",2018,"16-64 years",10.8
"286","Dundee City",2018,"16-64 years",3.15
"287","East Ayrshire",2018,"16-64 years",8.6
"288","East Dunbartonshire",2018,"16-64 years",7.9
"289","East Lothian",2018,"16-64 years",8.45
"290","East Renfrewshire",2018,"16-64 years",5.925
"291","Falkirk",2018,"16-64 years",7.325
"292","Fife",2018,"16-64 years",9
"293","Glasgow City",2018,"16-64 years",10.15
"294","Highland",2018,"16-64 years",-2.125
"295","Inverclyde",2018,"16-64 years",2.9
"296","Midlothian",2018,"16-64 years",3.125
"297","Moray",2018,"16-64 years",13.175
"298","Na h-Eileanan Siar",2018,"16-64 years",3.025
"299","North Ayrshire",2018,"16-64 years",10.075
"300","North Lanarkshire",2018,"16-64 years",6.125
"301","Orkney Islands",2018,"16-64 years",8.95
"302","Perth and Kinross",2018,"16-64 years",7.1
"303","Renfrewshire",2018,"16-64 years",6.6
"304","Scottish Borders",2018,"16-64 years",10.475
"305","Shetland Islands",2018,"16-64 years",7.35
"306","South Ayrshire",2018,"16-64 years",3.825
"307","South Lanarkshire",2018,"16-64 years",3.475
"308","Stirling",2018,"16-64 years",4.675
"309","West Dunbartonshire",2018,"16-64 years",2.6
"310","West Lothian",2018,"16-64 years",11.025
"311","Aberdeen City",2019,"16-64 years",8.05
"312","Aberdeenshire",2019,"16-64 years",8.25
"313","Angus",2019,"16-64 years",3.625
"314","Argyll and Bute",2019,"16-64 years",5.575
"315","City of Edinburgh",2019,"16-64 years",11.35
"316","Clackmannanshire",2019,"16-64 years",9.35
"317","Dumfries and Galloway",2019,"16-64 years",6.825
"318","Dundee City",2019,"16-64 years",2.7
"319","East Ayrshire",2019,"16-64 years",6.15
"320","East Dunbartonshire",2019,"16-64 years",3.925
"321","East Lothian",2019,"16-64 years",10.2
"322","East Renfrewshire",2019,"16-64 years",4.45
"323","Falkirk",2019,"16-64 years",6.625
"324","Fife",2019,"16-64 years",9.825
"325","Glasgow City",2019,"16-64 years",3.35
"326","Highland",2019,"16-64 years",2.85
"327","Inverclyde",2019,"16-64 years",0.1
"328","Midlothian",2019,"16-64 years",5.375
"329","Moray",2019,"16-64 years",16.5
"330","Na h-Eileanan Siar",2019,"16-64 years",-0.375
"331","North Ayrshire",2019,"16-64 years",9.375
"332","North Lanarkshire",2019,"16-64 years",3.425
"333","Orkney Islands",2019,"16-64 years",13.9
"334","Perth and Kinross",2019,"16-64 years",7.5
"335","Renfrewshire",2019,"16-64 years",6.4
"336","Scottish Borders",2019,"16-64 years",8.775
"337","Shetland Islands",2019,"16-64 years",8.475
"338","South Ayrshire",2019,"16-64 years",3.425
"339","South Lanarkshire",2019,"16-64 years",4.35
"340","Stirling",2019,"16-64 years",1.525
"341","West Dunbartonshire",2019,"16-64 years",1.75
"342","West Lothian",2019,"16-64 years",9.175
"343","Aberdeen City",2020,"16-64 years",7.5
"344","Aberdeenshire",2020,"16-64 years",8.3
"345","Angus",2020,"16-64 years",7.4
"346","Argyll and Bute",2020,"16-64 years",5.2
"347","City of Edinburgh",2020,"16-64 years",8.3
"348","Clackmannanshire",2020,"16-64 years",-1.6
"349","Dumfries and Galloway",2020,"16-64 years",8.9
"350","Dundee City",2020,"16-64 years",2.2
"351","East Ayrshire",2020,"16-64 years",5.7
"352","East Dunbartonshire",2020,"16-64 years",3.7
"353","East Lothian",2020,"16-64 years",11.1
"354","East Renfrewshire",2020,"16-64 years",6.7
"355","Falkirk",2020,"16-64 years",5.7
"356","Fife",2020,"16-64 years",9.6
"357","Glasgow City",2020,"16-64 years",4.2
"358","Highland",2020,"16-64 years",8.1
"359","Inverclyde",2020,"16-64 years",1.8
"360","Midlothian",2020,"16-64 years",3.6
"361","Moray",2020,"16-64 years",11.9
"362","Na h-Eileanan Siar",2020,"16-64 years",-3
"363","North Ayrshire",2020,"16-64 years",12.6
"364","North Lanarkshire",2020,"16-64 years",3.8
"365","Orkney Islands",2020,"16-64 years",9.2
"366","Perth and Kinross",2020,"16-64 years",10.7
"367","Renfrewshire",2020,"16-64 years",4.7
"368","Scottish Borders",2020,"16-64 years",7.6
"369","Shetland Islands",2020,"16-64 years",9.3
"370","South Ayrshire",2020,"16-64 years",8.1
