"FeatureCode","City","FeatureType","Year","Measurement","Units","Value","Energy Type","Energy Consuming Sector"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",187.889,"Electricity","Industrial"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",0.05,"Coal","Commercial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",2.263,"Manufactured Fuels","Domestic"
"S12000041","Angus","Council Area",2017,"Count","GWh",2802.052,"All","All"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",580.396,"Coal","All"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",177.375,"Electricity","Commercial"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",1400.594,"All","Domestic"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",1069.213,"Gas","Domestic"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",0.978,"Petroleum Products","Rail"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",1643.251,"All","All"
"S12000041","Angus","Council Area",2017,"Count","GWh",8.112,"Coal","Industrial"
"S12000041","Angus","Council Area",2017,"Count","GWh",12.266,"Coal","All"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",1680.635,"Petroleum Products","All"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",0,"Coal","Rail"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",1868.455,"Gas","All"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",12.749,"Petroleum Products","Rail"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",15.706,"Bioenergy & Wastes","All"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",3925.297,"All","Domestic"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",0.461,"Manufactured Fuels","Domestic"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",69.264,"Gas","Commercial"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",845.441,"All","Transport"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",284.312,"Gas","Commercial"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",572.977,"Petroleum Products","All"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",291.892,"Electricity","Commercial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",4.563,"Petroleum Products","Public Sector"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",0.025,"Coal","Public Sector"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",0,"Bioenergy & Wastes","Commercial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",7.597,"Bioenergy & Wastes","Domestic"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",0,"Coal","Commercial"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",1528.752,"All","Transport"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",0.559,"Coal","Industrial"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",1.764,"Coal","Industrial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",1.015,"Manufactured Fuels","Industrial"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",1173.902,"Petroleum Products","Road Transport"
"S12000005","Clackmannanshire","Council Area",2017,"Count","GWh",0.247,"Petroleum Products","Rail"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",0.739,"Petroleum Products","Commercial"
"S12000005","Clackmannanshire","Council Area",2017,"Count","GWh",86.557,"Electricity","Domestic"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",467.053,"All","Transport"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",7553.348,"All","All"
"S12000005","Clackmannanshire","Council Area",2017,"Count","GWh",0.033,"Coal","Commercial"
"S12000008","East Ayrshire","Council Area",2017,"Count","GWh",0,"Coal","Agriculture"
"S12000005","Clackmannanshire","Council Area",2017,"Count","GWh",12.558,"Bioenergy & Wastes","All"
"S12000005","Clackmannanshire","Council Area",2017,"Count","GWh",301.893,"Petroleum Products","All"
"S12000005","Clackmannanshire","Council Area",2017,"Count","GWh",1.796,"Manufactured Fuels","Domestic"
"S12000041","Angus","Council Area",2017,"Count","GWh",1289.989,"Petroleum Products","All"
"S12000041","Angus","Council Area",2017,"Count","GWh",230.544,"Gas","Industrial"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",38.835,"Bioenergy & Wastes","Road Transport"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",547.112,"Gas","Industrial"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",927.451,"Gas","All"
"S12000008","East Ayrshire","Council Area",2017,"Count","GWh",752.553,"Gas","Domestic"
"S12000041","Angus","Council Area",2017,"Count","GWh",106.244,"Gas","Commercial"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",168.43,"Electricity","Industrial & Commercial"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",1.888,"Coal","Domestic"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",0.214,"Coal","Public Sector"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",5.516,"Manufactured Fuels","All"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",49.315,"Petroleum Products","Domestic"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",375.249,"Gas","Industrial"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",3.149,"Coal","Domestic"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",172.93,"Gas","Commercial"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",8.095,"Manufactured Fuels","Domestic"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",1602.374,"Gas","All"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",4375.485,"All","Industrial & Commercial"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",0.142,"Petroleum Products","Public Sector"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",1.111,"Coal","All"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",461.566,"All","Industrial & Commercial"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",576.843,"Coal","Industrial"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",559.603,"Gas","Domestic"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",0,"Coal","Public Sector"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",826.683,"Electricity","All"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",1835.789,"Electricity","Industrial & Commercial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",3.278,"Manufactured Fuels","All"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",0,"Coal","Agriculture"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",284.166,"Electricity","Domestic"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",977.448,"Electricity","Domestic"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",700.931,"Gas","Commercial"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",716.895,"Gas","All"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",484.335,"Electricity","Industrial & Commercial"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",2009.62,"Gas","Domestic"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",0.083,"Coal","Public Sector"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",1336.869,"Electricity","All"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",49.188,"Petroleum Products","Industrial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",13.664,"Petroleum Products","Domestic"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",4439.646,"All","All"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",194.242,"Electricity","Industrial & Commercial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",0,"Coal","Agriculture"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",0,"Coal","Agriculture"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",2813.237,"Electricity","All"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",82.517,"Bioenergy & Wastes","Road Transport"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",90.114,"Bioenergy & Wastes","All"
