"FeatureName","DateCode","Age","Value"
"East Dunbartonshire",2017,"16-64 years",7
"East Lothian",2017,"16-64 years",5.5
"East Renfrewshire",2017,"16-64 years",10.7
"Falkirk",2017,"16-64 years",11.325
"Fife",2017,"16-64 years",11.9
"Glasgow City",2017,"16-64 years",7.625
"Highland",2017,"16-64 years",2.375
"Inverclyde",2017,"16-64 years",2.05
"Midlothian",2017,"16-64 years",6.775
"Moray",2017,"16-64 years",8.1
"Na h-Eileanan Siar",2017,"16-64 years",5.925
"North Ayrshire",2017,"16-64 years",9.7
"North Lanarkshire",2017,"16-64 years",6.275
"Orkney Islands",2017,"16-64 years",-0.0249999999999999
"Perth and Kinross",2017,"16-64 years",5.125
"Renfrewshire",2017,"16-64 years",0.9
"Scottish Borders",2017,"16-64 years",8.625
"Shetland Islands",2017,"16-64 years",-3.575
"South Ayrshire",2017,"16-64 years",6.95
"South Lanarkshire",2017,"16-64 years",8.025
"Stirling",2017,"16-64 years",6.1
"West Dunbartonshire",2017,"16-64 years",3.55
"West Lothian",2017,"16-64 years",8.025
"Aberdeen City",2018,"16-64 years",7.25
"Aberdeenshire",2018,"16-64 years",10.875
"Angus",2018,"16-64 years",4.45
"Argyll and Bute",2018,"16-64 years",6.475
"City of Edinburgh",2018,"16-64 years",10.2
"Clackmannanshire",2018,"16-64 years",11.175
"Dumfries and Galloway",2018,"16-64 years",10.8
"Dundee City",2018,"16-64 years",3.15
"East Ayrshire",2018,"16-64 years",8.6
"East Dunbartonshire",2018,"16-64 years",7.9
"East Lothian",2018,"16-64 years",8.45
"East Renfrewshire",2018,"16-64 years",5.925
"Falkirk",2018,"16-64 years",7.325
"Fife",2018,"16-64 years",9
"Glasgow City",2018,"16-64 years",10.15
"Highland",2018,"16-64 years",-2.125
"Inverclyde",2018,"16-64 years",2.9
"Midlothian",2018,"16-64 years",3.125
"Moray",2018,"16-64 years",13.175
"Na h-Eileanan Siar",2018,"16-64 years",3.025
"North Ayrshire",2018,"16-64 years",10.075
"North Lanarkshire",2018,"16-64 years",6.125
"Orkney Islands",2018,"16-64 years",8.95
"Perth and Kinross",2018,"16-64 years",7.1
"Renfrewshire",2018,"16-64 years",6.6
"Scottish Borders",2018,"16-64 years",10.475
"Shetland Islands",2018,"16-64 years",7.35
"South Ayrshire",2018,"16-64 years",3.825
"South Lanarkshire",2018,"16-64 years",3.475
"Stirling",2018,"16-64 years",4.675
"West Dunbartonshire",2018,"16-64 years",2.6
"West Lothian",2018,"16-64 years",11.025
"Aberdeen City",2019,"16-64 years",8.05
"Aberdeenshire",2019,"16-64 years",8.25
"Angus",2019,"16-64 years",3.625
"Argyll and Bute",2019,"16-64 years",5.575
"City of Edinburgh",2019,"16-64 years",11.35
"Clackmannanshire",2019,"16-64 years",9.35
"Dumfries and Galloway",2019,"16-64 years",6.825
"Dundee City",2019,"16-64 years",2.7
"East Ayrshire",2019,"16-64 years",6.15
"East Dunbartonshire",2019,"16-64 years",3.925
"East Lothian",2019,"16-64 years",10.2
"East Renfrewshire",2019,"16-64 years",4.45
